model_clean,model_clean
Nexia,6536
Lacetti,5154
Matiz,4363
Damas,3934
Cobalt,3918
Spark,3315
Прочее,1782
2106,1695
Другая,1601
Tracker,923
Captiva,912
2107,842
Tico,797
Malibu,562
Monza,404
2101,301
Epica,281
2109,232
3110,216
31029,204
Yuan Up,201
Onix,197
412,193
2102,180
Chevelle,166
2121 Нива,159
24,157
Chazor,152
Orlando,145
21099,145
E2,139
2108,138
2103,138
2500,129
2105,128
2104,116
Carnival,113
21,111
2115,108
21011,104
2410,101
2111,98
Largus,94
1118 Kalina седан,92
31105,91
Caddy,86
M3,84
Seagull,80
Vesta,80
X-Ray,79
2170 Priora,76
3102,75
Vesta SW,73
Elantra,72
1119 Kalina хэтчбэк,71
2141,65
Aveo,61
Espero,61
2125 Комби,59
Niva,57
469,55
Corolla,54
Sonata,52
L9,52
Sorento,51
Granta,50
31,49
Vito,49
2401,49
3303,49
1117 Kalina универсал,46
Santa FE,46
Transit,45
318,44
200,42
Tucson,40
K2700,39
L7,38
Maxima,38
2114,37
2140,36
Omega,36
Camry,36
Han,35
Creta,35
Equinox,34
M4,34
H-1 starex,33
2110,33
Van,32
520,32
4x4,32
Cruze,31
190,30
G,28
Seltos,28
Vectra,27
2206,27
E 200,27
Tacuma,26
Tiggo 7 Pro,26
Accent,26
69,26
K5,26
Transporter,26
ARRIZO 6 PRO,26
230,25
2715,24
Prince,24
C 180,24
21093,24
X5,24
Palisade,23
Song Plus EV Champion,23
Leganza,23
Land Cruiser Prado,23
Alero,22
Patriot,22
100,22
525,22
21013,21
220,21
Gentra,20
Sprinter,20
21213 Niva,20
Land Cruiser,20
Courier,19
Magnus,19
21063,19
E 230,19
Sportage,18
1102 Таврия,18
Starex,17
1111 Ока,17
001,17
Chance,17
Дана,16
Yuan Pro,16
80,16
X3,16
Highlander,16
Soul,16
Sierra,16
Blazer,16
Viano,15
626,15
Hiace,15
Racer,15
Tahoe,15
320,15
Cerato,15
Escort,14
Land Cruiser 150,14
S 600,14
2113,14
Golf,14
Porter,14
2131,14
S7,14
Land Cruiser 200,14
E 320,13
Altima,13
2172 Priora,13
