year,car_name,price_usd
1979,Lada 2103,1250.0
1979,Lada 2101,1250.0
1968,21,1250.0
1974,Lada 2106,1250.0
1979,Lada 2106,1250.0
1975,Lada 2103,1250.0
1979,Lada 2101,1250.0
1974,Lada 2101,1250.0
1974,GAZ 2401,1250.0
1977,Lada 2106,1250.0
1979,Lada 2101,1250.0
1979,Lada 2106,1250.0
1974,GAZ 24 Volga,1250.0
1977,Lada 2101,1250.0
1974,Lada 2101,1250.0
1976,Lada 2106,1250.0
1977,Lada 2111,1250.0
1977,Lada 2103,1250.0
1975,Lada 2101,1250.0
1973,GAZ 31029,1250.0
1977,Lada 2106,1250.0
1978,Lada 2101,1250.0
1979,Lada 2101,1250.0
1979,Lada 2101,1250.0
1974,Lada 21011,1250.0
1977,21111,1250.0
1978,Lada 2101,1150.0
1979,Lada 2102,1300.0
1900,Moskvich 412,1208.3
1976,Lada 2103,1100.0
1977,Lada 21011,1100.0
1978,Lada 2106,1100.0
1958,407,1100.0
1977,Lada 2106,1100.0
1978,2125 Комби,1100.0
1975,Lada 2106,1100.0
1972,Lada 2111,1100.0
1979,Lada 21011,1000.0
1975,Lada 2106,1100.0
1978,Lada 2106,1100.0
1974,Lada 2101,1100.0
1959,UAZ 469,1166.7
1979,Moskvich 412,1166.7
1978,Lada 2106,1166.7
1976,Lada Samara 2108,1166.7
1978,Lada 2101,1166.7
1979,Lada 2103,1166.7
1975,Lada 2110,1166.7
1962,21,1166.7
1973,Lada 2103,1166.7
1971,Lada 2101,1166.7
1974,Lada 2103,1050.0
1978,Lada 2102,1125.0
1976,Lada 2101,1083.3
1978,Lada 2111,1083.3
1979,Lada 2111,1083.3
1975,Lada 2106,1083.3
1977,Lada 2101,1083.3
1977,Lada 21011,1083.3
1975,Lada 2103,1083.3
1979,Lada 2103,1083.3
1977,Lada 2106,1083.3
1979,Lada 2101,1083.3
1976,Lada 21011,1083.3
1977,Lada 2101,1083.3
1974,Lada 2101,1083.3
1979,Lada 2101,1083.3
1979,Lada 2111,1083.3
1971,Lada 2101,1083.3
1979,Lada 2101,1083.3
1979,Lada 2101,1083.3
1900,GAZ 2401,1083.3
1973,Lada Kalina Wagon,1083.3
1976,Lada 2103,1083.3
1979,Lada 2101,1083.3
1979,Lada 21011,1083.3
1978,2715,1083.3
1978,Lada 2101,1083.3
1974,Lada 2101,1083.3
1977,Lada 2106,1083.3
1977,Moskvich 412,1000.0
1974,Lada 2106,1000.0
1978,Moskvich 2137,1000.0
1974,Lada 2102,1000.0
1979,Lada 2106,1000.0
1975,Другая,1000.0
1979,Lada 2102,1000.0
1978,Lada 2104,1000.0
1975,Lada 2103,1000.0
1979,Opel Ascona,1000.0
1973,Lada 2101,1000.0
1962,407,1000.0
1976,Lada 2101,1000.0
1977,Moskvich 412,1000.0
1977,Lada 21011,1000.0
1975,Lada 2101,1000.0
